2026-05-27 18:06:44.784 | INFO     | modules.llm.fuse_asr:fuse_asr_result:47 - 正在融合 ASR 片段批次: 11/12 (片段 201-220)...
2026-05-27 18:06:59.799 | INFO     | modules.llm.fuse_asr:fuse_asr_result:116 - 批次 11/12 融合完成 (91.7%)
2026-05-27 18:06:59.799 | INFO     | modules.llm.fuse_asr:fuse_asr_result:47 - 正在融合 ASR 片段批次: 12/12 (片段 221-230)...
2026-05-27 18:07:08.377 | INFO     | modules.llm.fuse_asr:fuse_asr_result:116 - 批次 12/12 融合完成 (100.0%)
2026-05-27 18:07:08.378 | SUCCESS  | modules.llm.fuse_asr:fuse_asr_result:127 - 多模型融合修正完成，共 230 段。
2026-05-27 18:07:08.378 | INFO     | pipeline:run:159 - STEP 4.5: 语义重切分
2026-05-27 18:07:08.378 | INFO     | modules.llm.resegmentation:semantic_resegment:15 - 开始语义重切分...
2026-05-27 18:07:23.919 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 注：
2026-05-27 18:07:23.920 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 1. 严格保留所有原文内容，仅调整分行和标点（如[14-15]末尾补句号）。
2026-05-27 18:07:23.920 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 2. 长句按逻辑拆分（如[2-4]在逗号后分行，[9-11]按语义分三部分）。
2026-05-27 18:07:23.920 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 3. 每行单词数控制在12-15以内（最长行为[2-4]第二行14词）。
2026-05-27 18:07:23.920 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 4. 索引覆盖1-15无遗漏，格式统一。
2026-05-27 18:08:00.725 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 处理后的文本如下：
2026-05-27 18:08:00.726 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 说明：
2026-05-27 18:08:00.726 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 1. 严格按句号/问号/感叹号分割，确保每行为独立句子（如[1-1]单独成句）。
2026-05-27 18:08:00.726 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 2. 长句在逻辑连接词处拆分（如[2-2]在"however"前断开，[3-3]在"so"前断开）。
2026-05-27 18:08:00.726 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 3. 保留所有原文内容，仅调整换行和标点（如[14-15]合并时补充了结尾句号）。
2026-05-27 18:08:00.726 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 4. 每行单词数控制在15词以内（最长行为[3-3]共14词）。
2026-05-27 18:08:00.727 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 5. 索引覆盖1-15无遗漏，多片段合并时标注连续范围（如[14-15]）。
2026-05-27 18:08:32.458 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: （注：原始索引范围已按合并后的逻辑重新分配，确保覆盖所有原始内容。若需严格保留原始索引编号，可调整为分段标注，例如将合并行标记为"[1-2][3-3]"等，但会降低可读性。）
2026-05-27 18:08:46.679 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: （注：根据规则3，部分长句在逻辑连接词处拆分，如[5-6]在"and"前拆分；[14-15]因超过15词且无合适拆分点，保留为单行但接近上限）
2026-05-27 18:09:03.559 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 以下是根据您的要求重新组合后的字幕文本，保留了所有原始内容并确保每行长度适中：
2026-05-27 18:09:03.559 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 注意：由于原始文本被分割成15个片段但包含多个完整句子，重组后产生了25行字幕。每行都严格：
2026-05-27 18:09:03.559 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 1. 保留了所有原始内容
2026-05-27 18:09:03.559 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 2. 按完整句子分割
2026-05-27 18:09:03.559 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 3. 控制每行单词数在15个以内
2026-05-27 18:09:03.560 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 4. 标注了对应的原始索引范围
2026-05-27 18:09:03.560 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 5. 在逻辑停顿处拆分长句（如[3-3]和[4-4]的拆分）
2026-05-27 18:09:19.523 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 注：由于原始文本的索引只到15，但重组后句子拆分导致行数增加。若需严格匹配原始15个索引，可将部分合并行调整为单行（但会违反长度规则）。以上版本优先遵循语义完整性和字幕可读性。
2026-05-27 18:09:37.034 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 以下是根据规则重新组合后的字幕文本（保留所有原文内容并按语义分割为完整句子）：
2026-05-27 18:09:37.035 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 注：
2026-05-27 18:09:37.036 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 1. 所有原始索引（1-15）均被完整覆盖
2026-05-27 18:09:37.036 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 2. 强制按语义和标点分割为独立句子
2026-05-27 18:09:37.036 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 3. 长句在逻辑连接词处拆分（如[6-7]在"or"前拆分）
2026-05-27 18:09:37.036 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 4. 每行字幕单词数控制在15个以内
2026-05-27 18:09:37.036 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 5. 保留所有原始文本内容，仅调整分行和标点位置
2026-05-27 18:09:56.741 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 以下是根据您提供的规则重新组合后的字幕文本：
2026-05-27 18:09:56.743 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 注：由于原始文本中存在多个长句和复杂结构，我尽可能按照逻辑停顿处进行了拆分。对于特别长的句子（如索引15的内容），我将其拆分为多个短句，同时确保：
2026-05-27 18:09:56.743 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 1. 保留了所有原始内容
2026-05-27 18:09:56.743 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 2. 每个完整句子独立成行
2026-05-27 18:09:56.743 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 3. 每行控制在12-15个单词以内
2026-05-27 18:09:56.743 | WARNING  | modules.llm.resegmentation:semantic_resegment:93 - 重切分输出格式不匹配: 4. 在逻辑连接词处拆分长句
